Identifier,Label,Description,Created,Modified,History notes,Type,Parent identifiers,Parent labels,Mapping type,Mapped identifier,Mapped label,Mapped type,
1,About the council,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,,,,,,,
2,"Budgets, spending and performance",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,1465,Council  expenditure,Service,
2,"Budgets, spending and performance",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,916,Economic information and analysis,Service,
2,"Budgets, spending and performance",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,348,Economic reports and forecasts,Service,
2,"Budgets, spending and performance",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,725,Performance measurement and reporting,Service,
2,"Budgets, spending and performance",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,1584,Transparency of accounts,Service,
2,"Budgets, spending and performance",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,1573,Transparency of senior salaries,Service,
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,370,Change of circumstances,Service,
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,366,Community engagement,Service,
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,645,Complaints advocacy,Service,
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,653,Customer satisfaction surveys,Service,
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,49,Education consultations,Service,
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,1536,Feedback and suggestions,Service,
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,1306,Petitions,Service,
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,724,Referenda,Service,
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,867,Service delivery consultation,Service,
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,658,Spending plans consultation,Service,
4,Contact the council,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,1413,Civic buildings,Service,
5,Council publications,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,354,"Minutes, agendas and reports",Service,
5,Council publications,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,359,News and information releases,Service,
5,Council publications,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,659,Publications,Service,
6,Council structure,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,,,,,
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,1045,Civic recognition and awards,Service,
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,1574,Councillors allowances and expenses,Service,
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,355,Councillors declaration of interest,Service,
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,358,Councillors directory,Service,
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,357,Councillors surgeries,Service,
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,360,Mayoral invitations,Service,
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,687,Members of parliament - MPs and MEPs,Service,
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,723,Parish/town council and councillors,Service,
8,Elections and voting,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,721,Election results,Service,
8,Elections and voting,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,365,Electoral nominations,Service,
8,Elections and voting,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,364,Electoral register,Service,
8,Elections and voting,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,1013,Postal voting,Service,
8,Elections and voting,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,361,Proxy voting,Service,
8,Elections and voting,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,362,Voting,Service,
9,Local information and statistics,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,367,Census information,Service,
9,Local information and statistics,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,1577,Open data publication,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,1466,Accessibility - local facilities,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,853,Accessibility of Web sites,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,877,Area waste strategy,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,1390,Byelaws and regulations,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,720,Community strategy,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,353,Complaints procedure,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,1291,Constitution,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,826,Data Protection,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,703,Emergency plan,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,495,Environmental policy,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,861,Equality and diversity,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,722,Freedom of Information,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,856,Local Development Framework,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,494,Local plans,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,822,Media and publicity protocols,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,674,Minerals local plan,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,830,Procurement policy,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,1088,Re-use of public sector information,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,868,Social housing policy,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,1611,Surface water management plans,Service,
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,1,About the council,contains,1613,Sustainable drainage systems,Service,
